Function,Total Number,N,Execution Time
EC2,1000,530,0.045118,
EC2,1000,540,0.034383,
EC2,1000,550,0.034961,
EC2,1000,560,0.040040,
EC2,1000,570,0.032312,
EC2,1000,580,0.038230,
EC2,1000,590,0.026755,
EC2,1000,600,0.027299,
EC2,1000,610,0.035017,
EC2,1000,620,0.032278,
EC2,1000,630,0.037362,
EC2,1000,640,0.033574,
EC2,1000,650,0.030038,
EC2,1000,660,0.039703,
EC2,1000,670,0.030612,
EC2,1000,680,0.040619,
EC2,1000,690,0.041685,
EC2,1000,700,0.042478,
EC2,1000,710,0.033184,
EC2,1000,720,0.041384,
EC2,1000,730,0.032416,
EC2,1000,740,0.032814,
EC2,1000,750,0.042570,
EC2,1000,760,0.036579,
EC2,1000,770,0.033821,
EC2,1000,780,0.043513,
EC2,1000,790,0.043363,
EC2,1000,800,0.034576,
EC2,1000,810,0.044284,
EC2,1000,820,0.035184,
EC2,1000,830,0.043850,
EC2,1000,840,0.038700,
EC2,1000,850,0.036255,
EC2,1000,860,0.036019,
EC2,1000,870,0.045360,
EC2,1000,880,0.036267,
EC2,1000,890,0.042266,
EC2,1000,900,0.045291,
EC2,1000,910,0.037075,
EC2,1000,920,0.045725,
EC2,1000,930,0.053003,
EC2,1000,940,0.045754,
EC2,1000,950,0.053641,
EC2,1000,960,0.049711,
EC2,1000,970,0.046880,
EC2,1000,980,0.037234,
EC2,1000,990,0.046118,
Main,1000,10,0.001250,
Main,1000,20,0.001256,
Main,1000,30,0.001391,
Main,1000,40,0.001268,
Main,1000,50,0.004940,
Main,1000,60,0.001305,
Main,1000,70,0.001295,
Main,1000,80,0.009508,
Main,1000,90,0.001389,
Main,1000,100,0.010738,
Main,1000,110,0.004414,
Main,1000,120,0.010936,
Main,1000,130,0.010923,
Main,1000,140,0.001351,
Main,1000,150,0.001355,
Main,1000,160,0.001382,
Main,1000,170,0.001386,
Main,1000,180,0.010602,
Main,1000,190,0.009693,
